transmissibility,susceptibility_scale,relative_susceptibility,minimum_transmissibility_scale,transmissibility_scale,transmissibility_midpoint,cluster,"[0,10)","[10,20)","[20,30)","[30,40)","[40,50)","[50,60)","[60,70)","[70,80)",80+,overall_ar
0.096,1,0,0,0.1,40,1,0.6732950693685883,0.7871245311616619,0.8492843154947733,0.8849625131665009,0.9051848994997131,0.8781146766152846,0.845286012110987,0.8402065138033257,0.8035590116232721,0.8380196327078255
0.097,1,0,0,0.1,40,1,0.6787002225186018,0.7919811012072897,0.8534541802450932,0.8885810522069373,0.9084250261143811,0.8818722516656445,0.8495864711748867,0.8446040349348878,0.8083278039997996,0.8421607092628557
0.098,1,0,0,0.1,40,1,0.6839948560974191,0.796708230066524,0.8574921796486267,0.8920713815281808,0.9115415510587915,0.885499213681553,0.853750961146659,0.8488640072713729,0.8129625460729448,0.8461739922818896
0.099,1,0,0,0.1,40,1,0.6891821215148312,0.8013103081841529,0.8614034263602209,0.8954389486075797,0.9145400531708696,0.8890010067322786,0.8577846870202614,0.8529916244987237,0.8174679268627169,0.8500644585770283
0.1,1,0,0,0.1,40,1,0.69426486604346,0.8057913210772693,0.8651925565886569,0.8986886837033083,0.9174255735107106,0.8923825672930948,0.86169239212518,0.8569916293206408,0.8218482218196402,0.8538366207099979
0.101,1,0,0,0.1,40,1,0.6992458826757854,0.8101551523521532,0.8688640651103986,0.9018253492552256,0.9202029691656197,0.8956486662473501,0.8654786732802788,0.8608686188559134,0.8261075886366637,0.857494850103576
0.10200000000000001,1,0,0,0.1,40,1,0.7041278646835064,0.8144055312231051,0.8724222498102875,0.9048534838613947,0.9228768579019281,0.8988038544290183,0.8691479304159151,0.8646269962813795,0.8302500181499406,0.8610433242024607
0.103,1,0,0,0.1,40,1,0.708913443296158,0.8185460725681586,0.875871248175102,0.9077774344927272,0.9254516465391789,0.9018524963677934,0.8727044060499655,0.8682710120851876,0.834279376330998,0.8644860618483926
0.104,1,0,0,0.1,40,1,0.7136050960423596,0.8225801780913906,0.8792149427114611,0.9106012688338354,0.9279314500767198,0.9047986805228704,0.8761520875706378,0.871804664254363,0.83819930331142,0.8678268317461051
0.105,1,0,0,0.1,40,1,0.7182052794562428,0.8265112067979188,0.8824571616239493,0.9133289960259623,0.9303203236547528,0.907646432576879,0.8794948943117084,0.8752318783188301,0.8420133811125547,0.8710693483525627
0.106,1,0,0,0.1,40,1,0.7227163435106636,0.8303423448078348,0.8856015010857475,0.9159643523585022,0.9326220247745528,0.9103995157715844,0.8827365272195399,0.8785563708766418,0.8457250136866827,0.8742170983653511
0.107,1,0,0,0.1,40,1,0.7271405461038033,0.8340766556607616,0.888651419764773,0.9185109319948023,0.9348401681388301,0.9130615472069427,0.8858805372551292,0.8817817048431117,0.8493374670056538,0.8772734331012483
0.108,1,0,0,0.1,40,1,0.7314800251364323,0.8377170252436832,0.8916101533021229,0.9209720785111835,0.9369781033686059,0.915635901071608,0.8889302652509617,0.8849112410989152,0.8528538271970137,0.8802414877538509
0.109,1,0,0,0.1,40,1,0.7357369068223517,0.8412663090664442,0.8944808948355079,0.9233510861391125,0.9390391264284434,0.9181258975501284,0.891888992039817,0.8879482747632064,0.8562771314270436,0.883124352415069
0.11,1,0,0,0.1,40,1,0.7399133133208846,0.844727329174912,0.8972667769979527,0.9256511683621624,0.9410264396174524,0.9205347813319297,0.8947599434817674,0.8908960496785489,0.8596103805435249,0.8859250574728612
0.111,1,0,0,0.1,40,1,0.744011151698746,0.8481026309795564,0.8999706184770756,0.9278752101474601,0.9429429133099315,0.9228654690077605,0.8975460316121183,0.8937574988677871,0.8628562873720959,0.8886463288563482
0.112,1,0,0,0.1,40,1,0.7480324086031034,0.8513948425101796,0.9025953211974064,0.9300261762680101,0.9447914930048779,0.9251209546832457,0.9002502400503221,0.8965356221094111,0.866017637798058,0.8912909703449465
0.113,1,0,0,0.1,40,1,0.7519788112534599,0.8546062603033171,0.9051434114595611,0.9321066393307216,0.9465747292407537,0.9273038435047428,0.9028751863592743,0.8992330602807839,0.8690968808128184,0.8938614239434811
0.114,1,0,0,0.1,40,1,0.7558522315182196,0.8577393325131379,0.9076175618186609,0.9341193043219392,0.9482952910947823,0.9294168754219991,0.9054236293216487,0.9018525933094979,0.8720966121897503,0.896360269327997
0.115,1,0,0,0.1,40,1,0.7596543523494059,0.860796273812033,0.9100201917511186,0.9360666228793979,0.9499556003347279,0.931462532268872,0.9078980661440447,0.90439673814981425,0.8750191800382725,0.8987898417312548
0.116,1,0,0,0.1,40,1,0.7633869081581207,0.8637793306936269,0.9123537281342021,0.937951031880725,0.9515580481554788,0.9334432871698459,0.9103010066957192,0.9068680277142708,0.8778669624286247,0.9011524815226524
0.117,1,0,0,0.1,40,1,0.7670515136569543,0.8666906074144118,0.9146204512188559,0.9397748268065529,0.9531048910724679,0.9353614672611011,0.9126348059452107,0.9092688372637407,0.8806421861650228,0.9034503873645995
0.118,1,0,0,0.1,40,1,0.7706497687834867,0.869532164952549,0.916822572256504,0.9415402163600648,0.9545982882118184,0.9372193163465748,0.9149017519741646,0.9116014776787463,0.883347029320785,0.9056856898522069
0.119,1,0,0,0.1,40,1,0.7741831317825254,0.8723058896659527,0.918962113721141,0.9432492198144218,0.9560402131337016,0.9390188873917897,0.9171039437801839,0.9138680717988854,0.8859834904154689,0.9078603382600708
0.12,1,0,0,0.1,40,1,0.7776530714207758,0.8750136745539363,0.9210411045341842,0.9449038625885464,0.9574326449527562,0.9407622372894486,0.9192434786954619,0.9160707374304311,0.8885535675548726,0.9099762866926845
0.121,1,0,0,0.1,40,1,0.7810611419925045,0.8776574774522808,0.9230616076089991,0.9465061755781337,0.9587775477700614,0.9424514348784114,0.9213224910850324,0.9182116325183848,0.8910593181682407,0.9120355187271152
0.122,1,0,0,0.1,40,1,0.7844086937455521,0.8802390262180312,0.9250254580902281,0.9480579778289423,0.9600766900578899,0.9440883307112111,0.9233428815702309,0.9202926790317479,0.8935025640237794,0.9140398003658969
0.123,1,0,0,0.1,40,1,0.7876970113123121,0.8827599630580055,0.9269343960383035,0.9495609910955441,0.9613317438303594,0.9456746770641236,0.9253064528660402,0.9223157004472864,0.8958850356487595,0.9159908056680994
0.124,1,0,0,0.1,40,1,0.7909275158485153,0.8852220504405388,0.9287902510560305,0.9510169969897391,0.9625444187551532,0.9472122944082115,0.9272151061436757,0.9242826243330361,0.8982085840153468,0.9178902937892919
0.125,1,0,0,0.1,40,1,0.7941015166189005,0.8876269391613033,0.930594757697206,0.9524276987377214,0.9637163583894154,0.9487029179932432,0.9290706348849619,0.9261952641092551,0.9004749418981891,0.919739930717425
0.126,1,0,0,0.1,40,1,0.7972200935702496,0.8899759970186766,0.9323493414850341,0.9537944903541953,0.9648489062116241,0.9501479703297759,0.9308745206541137,0.9280551225424392,0.9026855465812091,0.9215410864835857
0.127,1,0,0,0.1,40,1,0.8002845303003266,0.8922708136470688,0.9340556490900094,0.9551189718626613,0.9659435947347973,0.9515490856717188,0.9326284699104371,0.9298639281897718,0.9048420626790805,0.9232953423310472
